title,old_price,new_price,increase_amount
DELL Precision 7530 Intel Xeon 16 GB RAM 512 GB SSD 4GB NVIDIA® Quadro® P2000 Graphics Card 15.6″ Display,116488,122357,5869
DELL Studio 1747 Intel® Core™ i7-720QM 1st Gen 4GB RAM 320GB HDD 17.3″ Display,20000,24489,4489
DELL XPS 13-L321x Core-i5-2nd Gen 8GB RAM 128GB SSD 13.3″ Display,33928,37607,3679
Dell  Latitude 3300 Core-i5-8th Gen 8GB RAM 256GB SSD Touchscreen 13.3″ Display,49517,53038,3521
Dell Alienware 17 R5 Core-i7-8th Gen 16 GB RAM 512 GB SSD NVIDIA® GeForce® GTX 1070 8GB Card 17.3″ Display,179999,186259,6260
Dell G15-5515 Gaming Laptop AMD Ryzen5-5600H 16 GB RAM 512 GB SSD Nvidia RTX 3050 (4Gb Gddr6) 15.6″ Display,158888,161433,2545
Dell Inspiron  3511 Core-i5-10th Gen 8GB RAM 256GB SSD 15.6″ Display,78473,86353,7880
Dell Inspiron 15 2-in-1 7591 x360 Core-i5-10th Gen 8 GB RAM 512 GB SSD Touchscreen 15.6″ Display,120000,126116,6116
Dell Inspiron 15 3520 Core-i5-12th Gen 8 GB RAM 256 GB SSD 15.6″ Display,125000,130674,5674
Dell Inspiron 15 5567 Core-i5-7th Gen 8 GB RAM 256 GB SSD 15.6″ Display,55000,61258,6258
Dell Inspiron 15 7500 Core-i5-10th Gen 16 GB RAM 512 GB SSD TouchScreen x360 15.6″ Display,117195,122554,5359
Dell Inspiron 3501 Core-i5 10th Gen 8GB RAM 256GB SSD 15.6″ Display,80000,83103,3103
Dell Inspiron 3511 Core-i3-11th Gen 16GB RAM 256GB SSD 15.6″ Display,63465,70257,6792
Dell Inspiron 3537 Core-i5-4th Gen 8GB RAM 500GB HDD 15.6″ Display,38792,42857,4065
Dell Inspiron 3542 Core-i3-4th Gen 8GB RAM 256 GB SSD 15.6″ Touchscreen Display,36196,44093,7897
Dell Inspiron 3543 Core-i5-5th Gen 8GB RAM 500GB HDD 15.6″ Display,32213,35253,3040
Dell Inspiron 3580 Intel® Celeron® 4205U 8GB RAM 1TB HDD 15.6″ Display,34725,41889,7164
Dell Inspiron 3585 AMD Ryzen 3 8 GB RAM 256 GB SSD 15.6″ Display,45356,52738,7382
Dell Inspiron 5566 Core-i7-6th Gen 8GB RAM 256GB SSD 15.6″ Display,57487,64294,6807
Dell Inspiron 7373 Intel Core-i7-8th Gen 8GB RAM 256GB SSD Touch X360 13.3″ Display,82787,90503,7716
Dell Inspiron G7 7588 Gaming Laptop Core-i7 8th Gen 8GB RAM 256GB SSD 6GB Nvidia GeForce 1060 15.6″ Display,140596,144768,4172
Dell Latitude  5511 Core-i7-10th Gen 32GB RAM 1TB SSD Nvidia GeForce MX250 2GB Graphics Card 15.6″ Display,154450,158952,4502
Dell Latitude  5520 Core-i7-11th Gen 16GB RAM 256GB SSD 15.6″ Display,142460,148489,6029
Dell Latitude 3340 Core-i3 4th Gen 8 GB RAM 256 GB SSD 13.3″ Display,41683,43801,2118
Dell Latitude 3380 Core-i3-7th Gen 8GB RAM 256GB SSD Touchscreen 13.3″ Display,34623,41505,6882
Dell Latitude 3390 2-in-1 Intel Core i3-7th Gen 8GB RAM 256GB SSD Touch Screen X360 13.3″ Display,39276,44774,5498
Dell Latitude 3410 Core-i5-10th 8 GB RAM 256 GB SSD 14″ Display,72068,77480,5412
Dell Latitude 3420 Core-i5-11th Gen 8 GB RAM 256 GB SSD 14″ Display,89218,91910,2692
Dell Latitude 3450 Core-i3-5th Gen 4GB RAM 128GB SSD 14″ Display,30340,35286,4946
Dell Latitude 3490 Core-i3-6th Gen 8GB RAM 256GB SSD 14″ Display,30494,35867,5373
Dell Latitude 3490 Core-i7-8th Gen 8 GB RAM 256 GB SSD 14″ Display,55629,57939,2310
Dell Latitude 3500 Core-i5 8th Gen 8GB RAM 256GB SSD 15.6″ Display,59516,63949,4433
Dell Latitude 3520 Core-i5-11th Gen 16 GB RAM 256 GB SSD 15.6″ Display,115096,122440,7344
Dell Latitude 3550 Core-i5-5th Gen 8GB RAM 256GB SSD 15.6″ Display,49590,53953,4363
Dell Latitude 3580 Core-i5-7th Gen 8GB RAM 256GB SSD 15.6″ Display,42881,46342,3461
Dell Latitude 3580 Core-i7-7th Gen 8GB RAM 256GB SSD 15.6″ Display,61713,69536,7823
Dell Latitude 5280 Core-i5-7th Gen 8 GB RAM 256 GB SSD 12.5″ Display,46595,50247,3652
Dell Latitude 5289 2-in-1 Core-i7-7th Gen 8GB RAM 256GB SSD Touchscreen 12.5″ Display,45062,50793,5731
Dell Latitude 5300 2-in-1 Core-i7-8th Gen 8GB RAM 256GB SSD  x360 13.3″ Display,68417,75879,7462
Dell Latitude 5300 Core-i5-8th Gen 8 GB RAM 256 GB SSD 13.3″ Display,44999,49426,4427
Dell Latitude 5401 Core-i7-9th Gen 16 GB RAM 256 GB SSD NVIDIA GeForce MX150 2GB Card 14″ Display,88170,95146,6976
Dell Latitude 5411 Core-i5-10th Gen 16GB RAM 256GB SSD 14″ Display,104749,106981,2232
Dell Latitude 5430 Core-i7 12th Gen 16GB RAM 256GB SSD 14″ Display,146227,150293,4066
Dell Latitude 5431 Core-i5-12th Gen 1240P Processor 16 GB RAM 256 GB SSD 14″ Display,152063,159666,7603
Dell Latitude 5470 Core-i7-6th Gen 8 GB RAM 256 GB SSD 14″ Display,46230,52616,6386
Dell Latitude 5490 Core-i5-7th Gen 8 GB RAM 256 GB SSD 14.4″ Display,45000,47009,2009
Dell Latitude 5490 Core-i7 8th Gen 8 GB RAM 256 GB SSD 14″ Display,81952,84090,2138
Dell Latitude 5501 (H) Core-i5-9th Gen 16GB RAM 256GB SSD 15.6″ Display,82336,89882,7546
Dell Latitude 5511 Core-i7-10th Gen 8GB RAM 256GB SSD 15.6″ Display,113024,119840,6816
Dell Latitude 5520 Core-i5 11th Gen 16GB RAM 256GB SSD 15.6″ Display,120890,124188,3298
Dell Latitude 5531 Core-i7-12th Gen 12800H Processor 32GB RAM 1TB SSD Nvidia GeForce MX550 2GB Graphics Card 15.6″ Display( 1 Year International Warranty),314370,320449,6079
Dell Latitude 5540 Core-i7-4th Gen 8GB RAM 500GB HDD 15.6″ Display,35426,39711,4285
Dell Latitude 5570 Core-i7-6th Gen (HQ) Processor 8GB RAM 256GB SSD AMD Radeon™ M370 Graphics Card 2GB Dedicated 15.6″ Display,50393,58085,7692
Dell Latitude 5590 Core-i7-8th Gen 8 GB RAM 256 GB SSD 15.6″ Display,79728,83736,4008
Dell Latitude 5591 Core-i7-8th Gen 16 GB RAM 256 GB SSD NVIDIA GeForce MX130 2GB CARD 15.6″ Display,96769,101002,4233
Dell Latitude 6330 Core-i5-3rd Gen 4GB RAM 250GB HDD 13.1″ Display,26758,29698,2940
Dell Latitude 6420 Core-i7-2nd Gen 4GB RAM 500GB HDD NVIDIA® NUS™ 4200M 1GB Graphics Card 14″ Display,37829,42681,4852
Dell Latitude 6440 Core-i5-4th Gen 4GB RAM 250GB HDD 14″ Display,26529,30734,4205
Dell Latitude 6530 Core-i7-3rd Gen 4GB RAM 256GB SSD NVIDIA NVS 5200M 1GB Card 15.6″ Display,28717,36711,7994
Dell Latitude 6540 Core-i5-4th Gen 8 GB RAM 256 GB SSD AMD RADEON HD 8790M 2GB CARD 15.6″ Display,48645,54751,6106
Dell Latitude 7270 Core-i7 6th Gen 8 GB RAM 256 GB SSD 12.5″ Display,37647,42393,4746
Dell Latitude 7280 Core-i5-7th Gen 8GB RAM 256GB SSD 12.5″ Display,44115,49179,5064
Dell Latitude 7280 Core-i7-7th Gen 8 GB RAM 256 GB SSD 12.5″ Display,47035,49149,2114
Dell Latitude 7300 Core-i5-8th Gen 8 GB RAM 256 GB SSD 13.3″Display,54367,58589,4222
Dell Latitude 7370 Core-M5 6th Gen 16GB RAM 256GB SSD Touchscreen QHD PLUS 13.3″ Display,69584,76442,6858
Dell Latitude 7390  Core-i5-8th Gen 8 GB RAM 256 GB SSD 13.3″ Display,54613,60202,5589
Dell Latitude 7420 Core-i5-11th Gen 16 GB RAM 256 GB SSD 14″ Display,114183,117508,3325
Dell Latitude 7440 Core-i7-4th Gen 8GB RAM 256GB SSD 14″ Display,34062,36232,2170
Dell Latitude 7450 Core-i5 5th Gen 4GB RAM 500GB HDD 14″ Display,39618,41697,2079
Dell Latitude 7450 Core-i7-5th Gen  8 GB RAM 256 GB SSD 14″ Display,32961,38634,5673
Dell Latitude 7450 Core-i7-5th Gen 8GB RAM 256GB SSD Nvidia GeForce 840M 2GB Graphics Card 14″ Display,47612,54708,7096
Dell Latitude 7470 Core-i7 6th Gen 8 GB RAM 256 GB SSD 14″ Display,45698,52035,6337
Dell Latitude 7480 Core-i5-6th Gen 8 GB RAM 256 GB SSD 14″ Display,42082,46854,4772
Dell Latitude 7480 Core-i7 6th Gen 8GB RAM 256GB SSD  14″ Display,63425,69033,5608
Dell Latitude E3570 Core-i3-6th Gen 8GB RAM 256GB SSD 15.6″ Display,38909,44994,6085
Dell Latitude E5250 Core-i5-5th Gen 8GB RAM 256GB SSD 12.5″ Display,39123,46887,7764
Dell Latitude E5270 Core-i5-6th Gen 8GB RAM 256GB SSD 12.5″ Display,29325,34472,5147
Dell Latitude E5570 Core-i5-6th Gen 8GB RAM 256GB SSD AMD Radeon R7 M370 2GB Graphics Card 15.6″ Display,50865,52908,2043
Dell Latitude E6220 Core-i5-2nd 4GB RAM 250GB HDD 12.5″ Display,16408,23229,6821
Dell Latitude E6520 Core-i7-2nd Gen 4GB Ram 500GB HDD 15.6″ Display,30077,33122,3045
Dell Latitude E6540 Core-i7-4th Gen 8GB RAM 500GB HDD 15.6″ Display,40818,45327,4509
Dell Latitude E7440 Core-i5-4th Gen 4GB RAM 128GB SSD Touchscreen 14″ Display,41652,47052,5400
Dell Latitude E7440 Core-i5-4th Gen 8GB RAM 128GB SSD 14″ Display,44007,51083,7076
Dell Precision 3470 Core-i5-12th Gen 16 GB RAM 512 GB SSD 14″ UHD Graphic Display,202099,205382,3283
Dell Precision 3530 Core-i7-8th Gen 8 GB RAM 256 GB SSD P600 4 GB NVIDIA GRAPHICS CARD 15.6″ Display,115071,121825,6754
Dell Precision 3541 Core-i7-9th Gen 16GB RAM 256GB SSD NVIDIA Quadro P620 4GB Graphics Card 15.6′ Display,117595,120079,2484
Dell Precision 3550  Core-i5-10th Gen 16 GB RAM 256 GB SSD 15.6″ Display,108567,112773,4206
Dell Precision 3551 Core-i5-10th Gen 16 GB RAM 256 GB SSD NVIDIA Quadro P620 4GB Card Touchscreen 15.6″ Display,129019,134988,5969
Dell Precision 3560 Core-i5-11th Gen 32GB RAM 512GB SSD 2GB NVIDIA QUADRO T500 Graphics Card 15.6″ Display,149601,157342,7741
Dell Precision 3571 Core-i7-12th Gen 32GB RAM 256GB SSD 4GB NVIDIA RTX A1000 Dedicated Graphics Card 15.6″ Display,237631,240272,2641
Dell Precision 5510 Core-i7-6th Gen 16 GB RAM 256 GB SSD M1000M 2GB NVIDIA QUADRO GRAPHICS CARD 15.6″ Display,105000,112374,7374
Dell Precision 5540 Mobile Workstation Core-i9-9th Gen 32GB RAM 1TB SSD 4GB Graphics Card 15.6″ 4K Display,162675,169093,6418
Dell Precision 5550 Core-i9-10th Gen 16GB RAM 512GB SSD 4GB Nvidia Quadro T2000 Graphics Card 15.6″  Display,218521,221343,2822
Dell Precision 5550 Xeon W-10855M 64 GB RAM 1 TB SSD NVIDIA RTX A2000 4 GB Card 15.6″ Touch 4K Display,258044,265228,7184
Dell Precision 5560 Core-i7-11th GEN 32GB RAM 512GB SSD NVidia T1200 4GB Card 15.6″ Display,236367,240304,3937
Dell Precision 7510 Intel Xeon 16 GB RAM 256 GB SSD 4GB NVIDIA QUADRO M2000M Graphics Card 15.6″ Display,85101,92322,7221
Dell Precision 7520 Xeon E3-1505M 16GB RAM 512GB SSD Nvidia Quadro M1200 4GB Graphics Card 15.6″ Display,84011,86119,2108
Dell Precision 7530 Core-i7-8th Gen 16GB RAM 512GB SSD Nvidia Quadro P3200 6GB Graphics Card 15.6″ Display,134325,136688,2363
Dell Precision 7550 Core-i7-10th Gen 16GB RAM 512GB SSD 15.6″ Display,145082,151142,6060
Dell Precision 7550 Core-i7-10th Gen 16GB RAM 512GB SSD NVIDIA Quadro RTX4000 8GB Card GDDR6 15.6″ Display,253302,260491,7189
Dell Precision 7560 Core-i7-11th Gen (H) 16 GB RAM 256 GB SSD 4 GB NVIDIA Graphics Card T1200 15.6″ Display,227862,231847,3985
Dell Precision 7670 Core-i9-12th Gen 128GB RAM 1TB SSD NVIDIA® RTX A5500 16GB Card 16″  Display,502400,509496,7096
Dell Precision 7710 Core-i7-6th Gen 16 GB RAM 256 GB SSD NVIDIA QUADRO M3000M 4 GB DEDICATED GRAPHICS CARD 17.3″ Display,100308,108157,7849
Dell Precision 7710 Workstation Core-i7-6th Gen 16GB RAM 256GB SSD AMD FirePro W7170M 4GB Graphics Card 17.3″ Display,80917,86128,5211
Dell Precision 7750 Core-i7-10th Gen 16GB RAM 256GB SSD 17.3″ Display,156410,163713,7303
Dell Precision 7750 Xeon W-10855M 64GB RAM 2 TBSSD NVMe NVIDIA RTX Quadro 4000 8GB Card 17.3″  Display,270631,278613,7982
Dell Precision M6600 Core-i7-2nd Gen 8GB RAM 256GB SSD NVIDIA Quadro 3000M 2GB 17.3″ Display,26407,33319,6912
Dell Vostro 14 5481 Core-i7-8th Gen 16GB RAM 256GB SSD 14″ Display,62619,67340,4721
Dell Vostro 15 3559 Core-i5-6th Gen 8 GB RAM 256 GB SSD 2 GB CARD AMD RAEDON R5M315 15.6″ Display,52578,59419,6841
Dell Vostro 15 3559 Core-i5-6th Gen 8GB RAM 256GB SSD 15.6″ Display,41972,49557,7585
Dell Vostro 3500 Core-i5-11th Gen 8 GB RAM 256 GB SSD 15.6″ Display,112239,120010,7771
Dell XPS  9370 Core-i5-8th Gen 8GB RAM 256GB SSD 13.3″ Display,72103,78764,6661
Dell XPS 9350 Core-i5-6th Gen 8GB RAM 256GB SSD 13.3″ Display,52541,59299,6758
Dell latitude 5480 Core-i7-6th Gen 8GB RAM 256GB SSD Nvidia GeForce 930M 2GB Graphics Card 14″ Display,51817,59533,7716
Fujitsu LIFEBOOK E754  Core-i3-4th Gen 4GB RAM 320GB HDD 15.6″ Display,25379,31109,5730
Fujitsu LIFEBOOK E754 Core-i5-4th Gen 4GB RAM 320GB HDD 15.6″ Display,32184,38992,6808
