Product Name,Old Price,New Price
"Acer Aspire V5-471G Intel Core i5 3rd Gen -3337U 8GB RAM 500 GB HDD NVIDIA GeForce 710M 2GB Graphics Card Touch 14"" Display",24999,20098
"Acer aspire 5733 Core-i3-1st Gen 4GB RAM 250GB HDD 15.6"" Display",12999,8069
"Apple MacBook Pro 2016 Core-i7 16GB RAM 500GB SSD 13"" Display Space Gray",119999,117540
"Apple MacBook Pro 2019 A2141 Core-i9 32 GB RAM 512 GB SSD AMD Radeon Pro 5500M 8GB Graphics Card 16"" Display",259999,256098
"Apple MacBook Air M2, A2941 2023 8 GB RAM 256 GB SSD 15"" Display",300000,297508
"Acer q5wph Aspire Intel Pentium 4 GB RAM 500 GB HDD 15.6"" Display",17748,13170
"Acer Aspire 17 8943 Core-i5-1st Gen 4GB RAM 500GB HDD 1GB AMD 5000 Graphics Card 17"" Display",17091,13490
"Acer TravelmateP259-G2-M Core-i5-7th Gen 8 GB RAM 256 GB SSD 15.6"" Display",44392,42235
"Acer TravelMate P278 Core-i5-6th Gen 8 GB RAM 256 GB SSD 17.3"" Display",45000,42777
"Acer Aspire V Nitro (VN7-791) Intel Core i7-4720HQ 8GB RAM 256GB SSD NVIDIA GeForce GTX 960M (4GB GDDR5) 17.3"" Display",39999,35265
"Acer Aspire E5-575G Core-i5-6th Gen 8GB RAM 256GB SSD 15.6"" Display",34999,31734
"Apple MacBook Air MC8G4 M3 8-Core Chip 16GB RAM 256GB SSD 13.6"" Liquid Retina IPS LED Display 8-Core GPU Touch ID Space Gray (1 Year International Warranty)",304014,299148
"Apple MacBook Air MRXT3 M3 8-Core Chip (2024) 8GB RAM 256GB SSD 13.6"" IPS LED Display 8-Core GPU Touch ID Starlight (1 Year International Warranty) (On Order)",281008,277639
"Apple MacBook Air MLY33 M2 8-Core Chip 8GB RAM 256GB SSD 13.6"" Liquid Retina IPS LED Display 8-Core GPU Midnight (1 Year International Warranty) (On Order)",250000,246920
"Apple MacBook Air MRXQ3 M3 8-Core Chip 8GB RAM 256GB SSD 13.6"" Liquid Retina IPS LED Display 8-Core GPU Touch ID Silver (1 Year International Warranty) (On Order)",278000,275719
"Apple MacBook Air MXCV3 (2024) M3 8-Core Chip 16GB RAM 512GB SSD 13.6"" Liquid Retina Display 10-Core GPU Touch ID Midnight (1 Year International Warranty) (On Order)",373000,370366
"Apple MacBook Air MXCT3 M3 8-Core Chip 16GB RAM 512GB SSD 13.6"" Liquid Retina Display 10-Core GPU Touch ID Silver (1 Year International Warranty) (On Order)",392657,388966
"Apple MacBook Pro A1398 2015 Core-i7 16GB RAM 500GB SSD AMD Radeon R9 M370X 2GB Retina, 16"" Display Mid",75000,70582
"Apple MacBook Pro 2020 A2251 Core-i7 16GB RAM 1TB SSD Touch Bar 13"" Display",210000,205653
"Apple MacBook Pro 2019 Core-i7 16 GB RAM 512 GB SSD 4 GB CARD Radeon Pro 560X 15"" Display",230000,225920
"Apple MacBook Pro 2018 A1990 Core-i7 16GB RAM 500GB SSD Radeon Pro 555X 4GB Card 16"" Display",169999,167850
"Apple MacBook Pro MPHG3 M2 Max 12-Core Chip (2023) 32GB RAM 1TB SSD 14"" Liquid Retina XDR Display 30-Core GPU Touch ID Space Gray (1 Year International Warranty)",772887,770687
"Apple MacBook Pro MNWA3 M2 Max 12-Core Chip (2022) 32GB RAM 1TB SSD 16"" Liquid Retina XDR Display 38-Core GPU Touch ID Space Grey (1 Year International Warranty) (On Order)",807773,804867
"Apple MacBook Pro A2141 2019 Core-i9 16 GB RAM 1TB SSD Radeon Pro Vega 16 4GB Card 16"" Display",229999,225431
"Apple MacBook Pro MX2F3 M4 Pro 14-Core Chip 24 GB RAM 1TB SSD 14"" Liquid Retina XDR display 20-Core GPU Silver (1 Year International Warranty) (On Order)",695000,691453
"Apple MacBook Pro A2141 2019 Core-i9 32 GB RAM 1 TB SSD Radeon Pro 555X 4GB Card 15"" Display",263367,260807
"Apple MacBook Pro MX313 M4 Max 16-Core Chip 48GB RAM1TB SSD 16"" Liquid Retina XDR display 40-Core GPU Space Black (1 Year International Warranty)",1115000,1111068
"Apple MacBook Pro MX2X3 M4 Pro 14-Core Chip 24GB RAM 512GB SSD 16"" Liquid Retina XDR display 20-Core GPU Space Black (1 Year International Warranty) (On Order)",687791,683736
"ASUS K535V-SX126V Intel Core i5 -2410M 2nd Gen 4GB RAM 500GB HDD NVIDIA GeForce GT 540M 1GB Graphics Card 15.6"" Display",19999,17677
"ASUS G752VS Core-i7 6th Gen 16 GB RAM 512 GB SSD 960 2GB Graphics Card 17.3"" Display",90000,85935
"Brand New! Acer Predator Helios 16 PHN16-72-97FL Gaming Laptop Core-i9-14th Gen 14900HX 16GB RAM DDR5 1TB SSD NVIDIA RTX 4060 8GB Graphics Card 16"" WQXGA IPS 240Hz Win 11 (2 Year Official Warranty)",434512,431952
"Brand New! Acer Predator Helios Neo 14 PHN14-51-97X1 Gaming Laptop Ultra-9-185H 32GB RAM DDR5 1TB SSD NVIDIA RTX 4060 8GB Graphics Card 14.5"" WQXGA+ IPS 165Hz Win 11 (2 Year Official Warranty)",425000,422238
"Brand New! Acer Predator Helios 18 PH18-72-94LC Gaming Laptop Core-i9-14th Gen 14900HX 64GB RAM DDR5 2TB SSD NVIDIA RTX 4090 16GB Graphics Card 18"" WQXGA IPS 250Hz, Win 11 (2 Year Official Warranty)",975000,971425
"Brand New! Acer Nitro 16 AN16-43-R2GJ Gaming Laptop AMD Ryzen 7-8845HS 16GB RAM DDR5 512GB SSD NVIDIA RTX 4060 8GB Graphics Card 16"" WQXGA IPS 165Hz Win 11 (1 Year official Card Warranty)",327103,324939
"ASUS X55X1 Intel N2851 Celeron 4GB RAM 128GB SSD 15.6"" Display",19999,16248
"Brand New! Acer Nitro V 15 ANV15-51-73Y1 Gaming Laptop Core-i7-13th Gen 13620H 16GB RAM DDR5 512GB SSD NVIDIA RTX 4060 8GB Graphics Card 15.6"" FHD IPS 144Hz Win 11 (1 Year Official Card Warranty)",298500,293721
"Asus Zenbook Flip S X360 Core-i7-8th Gen 16 GB RAM 512 GB SSD Touch 13.3"" Display",85000,80233
"Brand New! ASUS TUF Gaming F15 FX507VU-LP150 Intel Core-i7-13620H 13th Gen 16GB RAM DDR5 512GB SSD Nvme M.2 Nvidia GeForce RTX 4050 8GB Graphics Card 15.6"" FHD Display RGB B/L KB DOS GREY (2 Year Official Warranty)",324322,321197
"Brand New! ASUS TUF Gaming F15 FX507VV-LP139W Intel Core-i7-13620H 13th Gen 16GB RAM 512GB SSD Nvme M.2 Nvidia GeForce RTX 4060 8GB Graphics Card 15.6"" FHD Display RGB B/L KB Win 11 GREY (2 Year Official Warranty)",362000,359629
"Brand New! Dell Inspiron 14 7440 2-in-1 Laptop Intel Core 7-150U 16GB RAM DDR5 1TB SSD Fingerprint Reader Backlit KB Windows 11 14"" FHD Touchscreen Ice Blue (1 Year International Warranty)",226712,222456
"Brand New! Dell Latitude 5440 Core-i7-13th Gen 16 GB RAM 512 GB SSD Touchscreen 14"" Display (Box Pack With 1 year International Warranty)",350000,346441
"Brand New! Dell Inspiron 3530 Intel Core-i5-13th Gen 8GB RAM 512GB SSD 15.6""FHD DOS (1 Year Official Card Warranty)",143677,139417
"Brand New! HP 15-FD0355NIA Core-i5-13th Gen 8GB RAM 512GB SSD 15.6"" Display (1 year International Warranty)",144469,140969
"Brand New! HP 15 FD0240TU Core-i5-13th Gen 8GB RAM 512GB SSD 15.6"" Display (1 Year Local Card Warranty)",146500,141905
"Brand New! HP 15-FD0182WM Intel Core i7-1355U 13th Gen 16GB Ram DDR4, 1TB SSD NVMe Intel Iris X Graphics Backlit KB, Finger Reader, Windows 11 15.6"" FHD Display (1 Year International Warranty)",189475,185190
"Brand New! Dell XPS 13 9340 Laptop Intel Core Ultra 7 Processor 155H 16GB RAM 512GB SSD Backlit KB Fingerprint Reader Windows 11 Pro 13.4"" FHD+ Display Platinum(1Year International Warranty)",393585,388969
"Brand New! DELL Vostro 3520 Core-i5-12th Gen 4GB RAM 256GB SSD 15.6"" Display (1 year International Warranty)",124642,120629
"Brand New! HP ENVY 14-FA0090AU x360 AMD Ryzen 7 8840HS 16GB LPDDR5 512GB SSD 14"" Diagonal, 2K Touchscreen Display Window 11 Glacier Silver (1 Year Local Warranty)",278988,276172
"Brand New! HP 250 G9 Core-i7-12th Gen 8GB RAM 512GB SSD 15.6"" Display (1 year International Warranty)",182869,179439
"Brand New! HP ProBook 450 G10 Core-i5-13th Gen 8GB RAM 512GB SSD 15.6"" Display (1 year International Warranty)",183000,180099
"Brand New! HP Spectre x360 14 eu00134dx Core-Ultra 7 155h 16GB RAM 1TB SSD 2.8 UWVA OLED 14"" Display (1 Year International Warranty)",384900,382702
"Brand New! HP ProBook 440 G11 Intel Core Ultra 5 Processor 125U 8GB DDR5 Ram, 512GB SSD NVMe Backlit Keyboard 14"" WUXGA IPS Display (1 Year International Warranty)",193999,189196
"Brand New! Lenovo v15 G3 IAP Core i5 12th Gen 8GB RAM 512GB SSD 15.6"" FHD Display (Box Pack with 1 Year International Warranty)",147000,144282
"Brand New! HP Omen 16-AE0073CL Gaming Laptop Core-i7-14th Gen 14650HX 32GB RAM 1TB SSD NVIDIA RTX 4060 8GB Graphics Card 16.1""FHD 144Hz W11 SILVER (1 Year International Warranty)",369218,366688
"Brand New! Lenovo ThinkPad E16 Gen 2 Intel Core Ultra 5-125U 8GB RAM 512GB SSD 16"" WUXGA BL/KB (1 Year International Warranty)",225000,220998
"Brand New! Lenovo LOQ 15 15ARP9 Gaming Laptop AMD Ryzen 7 7435HS 16GB RAM 512GB SSD NVIDIA RTX 4050 8GB Graphics Card 15.6""FHD Display Window 11 LUNA GREY (1 Year International Warranty)",269000,266724
"Brand New! Lenovo IdeaPad 3 14ITL05 Core i3-1115G4 2.00GHz 8GB RAM DDR4 256GB SSD M.2 NVMe 14"" Inch FHD Display Windows 11 Home in S Mode (1 year International Warranty)",96500,94041
"Brand New! HP VICTUS 15-fa1163dx Intel Core i7-12650H 12th Gen 16GB Ram DDR4, 512GB SSD NVMe NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics Card Backlit KB Windows 11 15.6"" FHD Display (1 Year International Warranty)",269900,266344
"Dell Inspiron 3511 Core-i5-10th Gen 8GB RAM 256GB SSD 15.6"" Display",74999,71887
"Dell G3 3579 Gaming Laptop Core-i5-8th Gen 16GB RAM 512GB SSD 4GB Nvidia GeForce GTX 1050 15.6"" Display",115000,112491
"Dell G15-5515 Gaming Laptop AMD Ryzen5-5600H 16 GB RAM 512 GB SSD Nvidia RTX 3050 (4Gb Gddr6) 15.6"" Display",159097,155773
"Dell Alienware m16 R1 Gaming Laptop  Raptor Lake Core-i7-13th Gen 13700HX 16GB RAM 1TB SSD NVIDIA GeForce RTX4070 GDDR6 8GB Graphics Card 16"" QHD+ 165Hz CV+ NVIDIA G-Sync Display DolbyAtmos Audio RGB Backlit KB W11 Pro (Dark Metallic Moon) (Open Box Laptop Warranty Ending till 16th Jan 2025)",354097,351600
"Dell Alienware M16 R2 Ultra 7 155H 16 Core Processor METEOR LAKE 16GB Ram DDR5 1TB SSD 8 GB NVIDIA GeForce RTX4070 GDDR6 16"" QHD 240Hz NVIDIA G-Sync Display Stereo Speakers AlienFX RGB Backlit KB W11 Home (Dark Metallic Moon,New)",495000,492946
"Dell Inspiron 3511 Core-i3-11th Gen 16GB RAM 256GB SSD 15.6"" Display",65000,62909
"Dell Inspiron 3185 AMD A9 9420e Radeon R5 4GB RAM 128GB SSD 11.6"" Display",24098,20050
"Dell Inspiron 3452 Pantium N3700 4GB RAM 128GB SSD 14"" Display",22411,19634
"Dell Inspiron 17 7706 2-in-1 Laptop Core-i7-11th Gen 16GB RAM 512GB SSD NVIDIA GeForce MX350 Graphics Card 17"" Display",138575,136045
"Dell Inspiron 15 7500 Core-i5-10th Gen 16 GB RAM 512 GB SSD TouchScreen x360 15.6"" Display",115000,111485
"Dell Inspiron 15 3593 Core-i5-10th Gen 12 GB RAM 256 GB SSD 15.6"" Display",95000,92766
"Dell Inspiron 3580 Intel Celeron 4205U 8GB RAM 1TB HDD 15.6"" Display",24999,21962
"Dell Inspiron 3567 Core-i5-7th Gen 8GB RAM 256 GB SSD 15.6"" Display",51451,47747
"Dell Inspiron 3543 Core-i3-5th Gen 4 GB RAM 128 GB SSD 15.6"" Display",30000,25443
"Dell Inspiron 3537 Core-i5-4th Gen 8GB RAM 500GB HDD 15.6"" Display",28000,24713
"Dell Inspiron 5566 Core-i7-6th Gen 8GB RAM 256GB SSD 15.6"" Display",49999,46729
"Dell Inspiron 3590 Core-i5-10th Gen 12 GB RAM 256 GB SSD 15.6"" Display",97774,95661
"DELL Inspiron 5437 Core-i7 4th Gen 8GB RAM 256GB SSD Touch Screen 14"" Display",30000,27316
"Dell Inspiron 5748 Core-i7-4th Gen 8GB RAM 256GB SSD 17.3"" Display",38141,33681
"Dell Inspiron G7 7588 Gaming Laptop Core-i7 8th Gen 8GB RAM 256GB SSD 6GB Nvidia GeForce 1060 15.6"" Display",140000,135763
"Dell Inspiron 7559 Core-i7 6th Gen 16 GB RAM 512 GB SSD 960 Nvidia Quadro 4 GB Graphics Card 15.6"" Display",90000,85981
"DELL Latitude 3350 Core-i5-5th Gen 8GB RAM 256GB SSD 13.3"" Display",36965,33837
"Dell Latitude 3380 Core-i3-7th Gen 8GB RAM 256GB SSD Touchscreen 13.3"" Display",31999,29442
"Dell Latitude 3310 Core-i5-8th Gen 8GB RAM 256GB SSD 13.3"" Display",39999,36861
"Dell Latitude 3189 Pentium 6th N4200 4 GB RAM 128 GB SSD 11.6"" Touchscreen x360 Display",21000,16336
"Dell Latitude 3301 Core-i3-8th Gen 4GB RAM 128GB SSD 13.3"" Display",35000,32014
"Dell Latitude 3480 Core-i5 7th Gen 8GB RAM 256GB SSD 14"" Display",42000,38059
"Dell Latitude 3410 Core-i5-10th 8 GB RAM 256 GB SSD 14"" Display",60000,57342
"Dell Latitude 3390 2-in-1 Intel Core i3-7th Gen 8GB RAM 256GB SSD Touch Screen X360 13.3"" Display",43460,39614
"Dell Latitude 3490 Core-i5-7th Gen 8GB RAM 256GB SSD 14"" Display",39000,35390
"Dell Latitude 3490 Core-i7-8th Gen 8 GB RAM 256 GB SSD 14"" Display",50000,46212
"Dell Latitude 3490 Core-i3-6th Gen 8GB RAM 256GB SSD 14"" Display",32000,29110
"Dell Latitude 3510 Core-i5-10th Gen 8GB RAM 256GB SSD 15.6"" Display",78347,74348
"Dell Latitude 3500 Core-i3-8th Gen 8 GB RAM 256 GB SSD 15.6"" Display",47364,44843
"Dell Latitude 5280 Core-i5-7th Gen 8 GB RAM 256 GB SSD 12.5"" Display",42682,37863
"Dell Latitude 3580 Core-i5-7th Gen 8GB RAM 256GB SSD 15.6"" Display",43999,40455
"Dell Latitude 3580 Core-i3-6th Gen 8GB RAM 256GB SSD 15.6"" Display",38087,33194
"Dell Latitude 5310 2-in-1 Core-i5-10th Gen 16 GB RAM 256 GB SSD Touchscreen 13.3"" Display",85000,81317
"Dell Latitude 5300 Core-i5-8th Gen 8 GB RAM 256 GB SSD 13.3"" Display",44999,42510
"Dell Latitude 5420 Core-i7-11th Gen 16GB RAM 256GB SSD 14"" Display",104999,101637
"Dell Latitude 5410 Core-i5 10th Gen 8GB RAM 256GB SSD 14"" Display",62527,59608
"Dell Latitude 5401 Core-i7-9th Gen 16 GB RAM 256 GB SSD NVIDIA GeForce MX150 2GB Card 14"" Display",90000,86350
"Dell Latitude 5401 Core-i5 9th Gen 8GB RAM 256GB SSD 14"" Display",69794,65248
"Dell Latitude 5450 Core-i5-5th Gen 8GB RAM 256GB SSD 14"" Display",36072,32114
"Dell Latitude 5450 Core-i5-5th Gen 8GB RAM 256GB SSD Nvidia GeForce 830m 2GB Graphics Card 14"" Display",38000,33493
"Dell Latitude 5480 Core-i7-7th Gen 8GB RAM 256GB SSD 14"" Display",47000,42553
"Dell Latitude 5500 Core-i5-8th Gen 8 GB RAM 256 GB SSD 15.6"" Display",62926,60254
"DELL Latitude 5491 Core-i7-8th Gen 8GB RAM 256GB SSD Nvidia GeForce MX130 2GB Graphics Card 14"" Display",75000,71179
"Dell Latitude 5490 Core-i5-8th Gen 8 GB RAM 256 GB SSD 14"" Display",50000,47602
"Dell Latitude 5490 Core-i7 8th Gen 8 GB RAM 256 GB SSD 14"" Display",58000,53422
"Dell Latitude 5540 Core-i7-4th Gen 8GB RAM 500GB HDD 15.6"" Display",37193,34653
"Dell Latitude 5540 Core-i5-1340P 16GB RAM 512GB SSD 15.6"" Display",195000,192343
"DELL Latitude 5511 Intel Core i5-10th Gen 8GB RAM 256GB SSD 15.6"" Display",90000,86040
"Dell Latitude 5510 Core-i7 10th 16GB RAM 256 GB SSD 15.6"" Display",90000,85150
"Dell Latitude 5510 Core-i5-10th Gen 16GB RAM 256GB SSD 15.6"" Display",82297,78268
"Dell Latitude 5580 Core-i7-7th Gen 16GB RAM 256GB SSD 15.6"" Display",60000,57217
"Dell Latitude 5590 Core-i7-8th Gen 8 GB RAM 256 GB SSD 15.6"" Display",69999,65764
"DELL Latitude 5590 Core-i3-8th Gen 8GB RAM 256GB SSD 15.6"" Display",44999,40060
"Dell Latitude 5570 Core-i7-6th Gen 8 GB RAM 256 GB SSD 15.6"" Display",46000,43473
"Dell Latitude 5570 Core-i7-6th Gen (HQ) Processor 8GB RAM 256GB SSD AMD Radeon M370 Graphics Card 2GB Dedicated 15.6"" Display",47999,44545
"Dell Latitude 6530 Core-i7-3rd Gen 4GB RAM 256GB SSD NVIDIA NVS 5200M 1GB Card 15.6"" Display",30000,27568
"Dell Latitude 6440 Core-i5-4th Gen 4GB RAM 250GB HDD 14"" Display",24113,21838
"Dell Latitude 5591 Core-i7-8th Gen 16 GB RAM 256 GB SSD NVIDIA GeForce MX130 2GB CARD 15.6"" Display",93377,90728
"Dell Latitude 6420 Core-i7-2nd Gen 4GB RAM 500GB HDD NVIDIA NUS 4200M 1GB Graphics Card 14"" Display",29122,25501
"Dell Latitude 6420 Core-i5-2nd Gen 4GB RAM 250GB HDD 14.1"" Display",16999,13274
"Dell Latitude 6540 Core-i5-4th Gen 8 GB RAM 256 GB SSD AMD RADEON HD 8790M 2GB CARD 15.6"" Display",39812,36218
"Dell Latitude 7250 Core-i7-5th Gen 8 GB RAM 256 GB SSD 12.5"" Display",36502,34225
"Dell Latitude 7270 Core-i7 6th Gen 8 GB RAM 256 GB SSD 12.5"" Display",38963,35382
"Dell Latitude 7240 Core-i5-4th Gen 4GB RAM 128GB SSD 12.5"" Display",24999,22899
"Dell Latitude 7300 Core-i5-8th Gen 8 GB RAM 256 GB SSD 13.3""Display",45000,40726
"Dell Latitude 7410 Core-i7-10th Gen 16 GB RAM 256 GB SSD 14"" Display",84999,80763
"Dell Latitude 7370 Core-M5 6th Gen 16GB RAM 256GB SSD Touchscreen QHD PLUS 13.3"" Display",62149,57696
"Dell Latitude 7390 2-in-1 Core-i5-8th Gen 8GB RAM 256 GB SSD 13.3"" Touchscreen Display",55000,52482
"Dell Latitude 7390 Core-i5-8th Gen 8 GB RAM 256 GB SSD 13.3"" Display",52408,48552
"Dell Latitude 7310 Core-i5 10th Gen 16GB RAM 256GB SSD 13.3"" Display",69999,66421
"Dell Latitude 7450 Core-i7-5th Gen 8 GB RAM 256 GB SSD 14"" Display",37999,34513
"Dell Latitude 7470 Core-i5-6th Gen 8 GB RAM 256 GB SSD 14"" Display",38000,33413
"Dell Latitude 7420 Core-i5-11th Gen 16 GB RAM 256 GB SSD 14"" Display",94999,90583
"Dell Latitude E5250 Core-i5-5th Gen 8GB RAM 256GB SSD 12.5"" Display",29999,26583
"Dell Latitude 7490 Core-i5-8th Gen 8 GB RAM 256 GB SSD 14"" Display",53000,50614
"Dell Latitude E3570 Core-i3-6th Gen 8GB RAM 256GB SSD 15.6"" Display",31999,29590
"Dell Latitude 7480 Core-i5-7th Gen 8 GB RAM 256 GB SSD 14"" Display",44663,41080
"Dell Latitude E5430 Core-i3-2nd Gen 4GB RAM 250GB HDD 14"" Display",22355,19581
"Dell Latitude E6230 Core-i5-3rd Gen 4GB RAM 250GB HDD 12.5"" Display",22366,18526
"Dell Latitude E5570 Core-i5-6th Gen 8GB RAM 256GB SSD AMD Radeon R7 M370 2GB Graphics Card 15.6"" Display",48135,45555
"DELL Latitude E5520 Core-i5-2nd Gen 4GB RAM 320GB HDD 15.6"" Display",20000,16569
"Dell Latitude E5450 Core-i7-5th Gen 8 GB RAM 256 GB SSD 14"" Display",41658,39279
"Dell Latitude E7480 Core-i5-6th Gen 8 GB RAM 256 GB SSD Touchscreen 14"" Display",46458,44105
"Dell Latitude E7440 Core-i7-4th Gen 8GB RAM 256GB SSD Touchscreen 14"" Display",38000,33530
"Dell Latitude E7440 Core-i5-4th Gen 4GB RAM 128GB SSD Touchscreen 14"" Display",29999,26993
"Dell Latitude E7280 Core i7-6th Gen 8 GB RAM 256 GB SSD Touchscreen 12.5"" Display",40000,36764
"Dell Latitude E6540 Core-i7-4th Gen 8GB RAM 256GB SSD AMD Radeon HD 8770M 2GB Graphics Card 15.6"" Display",44417,40209
"Dell Latitude E7270 Core-i5-6th Gen 8GB RAM 256GB SSD 12.5"" Display",36554,33075
"Dell Latitude E6330s Core-i7-3rd Gen 4GB RAM 250GB HDD 13.3"" Display",25937,23735
"Dell Precision 3541 Core-i5 9th Gen 16GB RAM 256GB SSD Nvidia Quadro P620 4GB Graphics Card 15.6"" Display",103031,98523
"Dell Precision 3550 Core-i5-10th Gen 16 GB RAM 256 GB SSD 15.6"" Display",99488,96605
"Dell Precision 3540 Core-i7-8th Gen 16GB RAM 256GB SSD 2GB AMD Radeon Pro WX2100 15.6"" Display",84999,81429
"Dell Precision 3540 Corei5-8th Gen 16GB RAM 512GB SSD 15.6"" Display",65000,61652
"Dell Precision 3530 Core-i7-8th Gen 8 GB RAM 256 GB SSD P600 4 GB NVIDIA GRAPHICS CARD 15.6"" Display",115000,112008
"Dell Precision 3540 Core-i7-8th Gen 16GB RAM 256GB SSD 15.6"" Display",84999,82488
"Dell Precision 5510 Core-i5-6th Gen 8 GB RAM 256 GB SSD 2 GB Graphics Card 15.6"" Display",80000,76241
"Dell Precision 3581 Core-i7 13800H 13th Gen 16 GB RAM 1 TB SSD NVIDIA RTX A1000 6 GB Card 15.6"" Display",377000,374407
"Dell Precision 3560 Workstation Laptop Core-i7-11th Gen 16GB RAM 256GB SSD 2GB Nvidia Quadro T500 Graphics Card 15.6"" Display",164999,162569
"Dell Precision 3551 Core-i7-10th Gen 16 GB RAM 256 GB SSD NVIDIA QUADRO P620 4 GB CARD 15.6"" Display",144999,140756
"Dell Precision 3551 Core-i5-10th Gen 16 GB RAM 256 GB SSD NVIDIA Quadro P620 4GB Card Touchscreen 15.6"" Display",133737,129109
Dell Precision 5530 Core-i7-8th Gen 32 GB RAM 256 GB SSD NVIDIA QUADRO P1000 4GB CARD 15.6  Display,139935,136569
"Dell Precision 5750 Core-i7-10th Gen 16GB RAM 512GB SSD 4GB Nvidia Quadro T2000 Graphics Card 17"" Display",199999,195608
"Dell Precision 7510 Core-i7-6th Gen (HQ) 16 GB RAM 256 GB SSD 2GB NVIDIA M1000M 15.6"" Display",69340,66047
"Dell Precision 5550 Core-i7-10th Gen 16GB RAM 1TB SSD Nvidia Quadro T1000 4GB Graphics Card 15.6"" Display",174862,170093
"Dell Precision 7550 Core-i7-10th GEN 16GB RAM 512SSD NVIDIA QUADRO T1000 4GB CARD 15.6"" Display",174999,170365
"Dell Precision 7550 Core-i7-10th Gen 16GB RAM 512GB SSD 15.6"" Display",139999,135840
"Dell Precision 7550 Core-i7-10th Gen 16GB RAM 512GB SSD NVIDIA Quadro RTX4000 8GB Card GDDR6 15.6"" Display",240000,237507
"Dell Precision 7520 Xeon E3-1505M 16GB RAM 512GB SSD Nvidia Quadro M1200 4GB Graphics Card 15.6"" Display",75000,72902
"Dell Precision 7710 Core-i7-6th Gen 16 GB RAM 256 GB SSD NVIDIA QUADRO M3000M 4 GB DEDICATED GRAPHICS CARD 17.3"" Display",94978,91822
"Dell Precision 7520 Core-i5-7th Gen 16GB RAM 256GB SSD AMD Radeon Pro WX130 2GB Graphics Card 15.6"" Display",60000,56978
"Dell Precision 7670 Core-i7-12th Gen 64GB RAM 2TB SSD 16 GB Nvidia RTX 3080ti 16"" Display",424823,422174
"Dell Precision 7570 laptop Core-i7-11th GEN 16 GB RAM 512 GB SSD NVIDIA QUADRO T1200 4 GB CARD 15.6"" Display",210000,205365
"Dell Precision 7740 Xeon E2286M 64GB RAM 1TB SSD 16GB Nvidia RTX 5000 Graphics Card 17"" Display",252855,247992
"Dell Precision 7730 Intel Xeon E-2176M 32GB RAM 2TB SSD Nvidia Quadro P3200 6GB Card 17.3"" Display",163802,159254
"Dell Precision 7720 Core-i7-7th Gen 16 GB RAM 256 GB SSD NVIDIA QUADRO P3000 6 GB GRAPHICS CARD 17.3"" Display",132729,130651
"Dell Precision 7740 Core-i7-9th Gen 16 GB RAM 512 GB SSD AMD Fire Pro WX 3200 4GB Card 17.3"" Display",149999,147468
"Dell Precision 7710 Workstation Core-i7-6th Gen 16GB RAM 256GB SSD AMD FirePro W7170M 4GB Graphics Card 17.3"" Display",74999,72471
"Dell Precision 7710 Mobile Workstation Core-i7-6th Gen 16 GB RAM 256 GB SSD NVIDIA QUADRO M5000M 8 GB DEDICATED GRAPHICS CARD 17.3"" Display",103797,101758
