title,old_price,new_price,decrease_amount
"HP OMEN 16 WF100 Gaming Laptop - Raptor Lake - 14th Gen Core i7 14700HX 20-Core Processor 16-GB 512-GB SSD 6-GB NVIDIA GeForce RTX4050 GDDR6 GC 16"" Full HD 1080p 165Hz IPS MicroEdge AG Display DTS:X Ultra Audio Backlit KB W11 (Shadow Black, NEW)",327247,323974,3273
"HP Pavilion 16 AF0049TU - Intel Core Ultra 7 155U 12-Core Processor 16-GB 512-GB SSD Intel Integrated Graphics 16"" 2K WUXGA 1200p IPS MicroEdge AG 300nits Display DTS:X® Ultra Audio Backlit KB W11 TPM (Natural Silver, HP Direct Local Warranty, NEW)",255000,250630,4370
"HP Pavilion Aero 13 BG0001AU - AMD Ryzen 5 8640U 6-Core Processor 16-GB 512-GB SSD AMD Radeon Integrated GC 13.3"" WQXGA 1600p 60Hz IPS MicroEdge AG Display DTS:X Ultra Audio Backlit KB (Sky Blue, Open Box)",158500,155776,2724
"HP Pavilion Plus Laptop 14 EH1003tu - Raptor Lake - 13th Gen Core i7 13700H Processor 16-GB 512-GB Intel Iris Xe GC 14"" 2.8K OLED 90Hz UWVA MicroEdge Display B&O Play Backlit KB FP Reader TPM JP-Eng KB (Warm Gold, Open Box)",192500,187594,4906
"HP ProBook 450 G10 - Raptor Lake - 13th Gen Core i5 1334u Deca-Core Processor 8-GB to 32-GB 512-GB to 2-TB SSD Intel Integrated GC 15.6"" Full HD 1080p IPS UWVA AG Display FP Reader W11 Pro  (Pike Silver, Open Box)",155900,152211,3689
"HP ProBook 450 G10 - Raptor Lake - 13th Gen Core i5 1335u Deca-Core Processor 8-GB to 32-GB 512-GB to 2-TB SSD Intel Integrated GC 15.6"" HD 720p UWVA eDP AG Narrow Bezel Display FP Reader W11 Pro (Pike Silver, Open Box)",152900,148474,4426
"HP ProBook 460 G11 - Intel Core Ultra 7 155U Processor 8-GB to 32-GB 512-GB to 2-TB SSD Intel Integrated GC 16"" WUXGA 1200p IPS AG 300nits Display PolyStudio Audio Backlit KB FP Reader (Pike Silver, NEW)",219900,216165,3735
"HP Spectre x360 Convertible 14 EF0013tu - Alder Lake - 12th Gen Core i5 1235u Processor 16-GB 512-GB SSD Intel Iris Xe Graphics 13.3"" WUXGA+ IPS MicroEdge Touchscreen Display B&O BKB FPR (Nightfall Black, Open Box)",241048,236082,4966
"HP VICTUS 15 FA1082wm Gaming Laptop - Raptor Lake - 13th Gen Core i5 13420H Processor 16-GB 512-GB SSD 6-GB NVIDIA GeForce RTX4050 GDDR6 GC 15.6"" Full HD 1080p IPS 144Hz 250nits MicroEdge Display B&O Play Backlit KB W11 (Mica Silver, NEW)",217900,215324,2576
"HP Victus Gaming 16 R0074TX - Raptor Lake - 13th Gen Core i7 13700HX (16 Core) Processor 16GB 512GB SSD 8-GB NVIDIA GeForce RTX4060 GDDR6 GC 16.1"" FHD 1080p IPS 165Hz Micro-Edge Display B&O 1-Zone RGB BKB TPM W11 (Mica Silver, HP Direct Local Warranty)",391074,387721,3353
"HP Zbook Firefly 14 G10 Mobile Work Station - Raptor Lake - 13th Gen Core i7 1355U Processor 32-GB 512-GB SSD 4-GB NVIDIA RTX-A500 GDDR6 GC 14"" WUXGA 60Hz 1200p AG Display B&O Play Backlit KB FP Reader (Silver, Open Box)",285000,280933,4067
"Lenovo IdeaPad 5 2-in-1 16 - Intel Core 7 150U Processor 16-GB 1-TB SSD Intel Graphics 16"" WUXGA 1200p IPS 300nits 60Hz Touchscreen Convertible Display DolbyAudio Backlit KB FP Reader W11 NUMPAD TPM 2.0 (Cosmic Blue, NEW)",230000,226421,3579
"Lenovo LOQ 15 AI Tuned - Raptor Lake - 13th Generation Core i7 13650HX 14-Core Processor 24-GB 512-GB SSD 6-GB NVIDIA GeForce RTX4050 GDDR6 GC 15.6"" FHD 1080P IPS 350nits AG 144Hz G-Sync Display BKB TPM2.0 (Luna Grey, Lenovo Direct Local Warranty)",342956,340096,2860
"Lenovo Legion 5 - Raptor Lake - 14th Gen Core i7 14650HX 16-Core Processor 16-GB 1-TB SSD 6-GB NVIDIA GeForce RTX4050 GDDR6 GC 16"" WQXGA 1600p IPS 165Hz G-Sync Display Nahimic Audio 4-Zone RGB BKB (Luna Grey, Lenovo Direct Local Warranty, NEW)",452557,449345,3212
"Lenovo Legion 5 Gaming - Raptor Lake - 14th Gen Core i9-14900HX 24-Core Processor 32-GB 1-TB SSD 8-GB NVIDIA GeForce RTX4060 GDDR6 GC 16"" WQXGA 1600p IPS 165Hz G-Sync Display Nahimic Audio 4-Zone RGB BKB W11 (Luna Grey, NEW)",425000,421122,3878
"Lenovo Legion Go 8APUI - AMD Ryzen Z1 Extreme Processor 16GB 1-TB SSD Integrated AMD Radeon Graphics 8.8"" WQXGA IPS 500nits 144Hz Corning Gorilla Glass Lowlight Touch Display HD Audio with Stereo Speakers W11 (Shadow Black, Lenovo Direct Local Warranty)",255909,251526,4383
"Lenovo Legion Pro 5 Gaming - Raptor Lake - 14th Gen Core i9-14900HX 24-Core Processor 32-GB 1-TB SSD 8-GB NVIDIA GeForce RTX4070 GDDR6 GC 16"" WQXGA 1600p IPS 240Hz G-Sync Display Nahimic Audio 4-Zone RGB BKB (Onyx Grey, Lenovo Direct Local Warranty, NEW)",685000,681327,3673
"Lenovo Slim 7 14 - Meteor Lake - Intel Core Ultra 7 155H 16-Core Processor 32-GB 1-TB SSD Intel Arc GC 14"" WUXGA 1200p OLED 60Hz DolbyVision HDR Touchscreen Display DolbyAtmos Audio Backlit KB W11 (Luna Grey, NEW)",237000,233308,3692
"Lenovo ThinkPad E15 Gen 4 - Alder Lake - 12th Gen Core i7 10 Core Processor 8GB to 40GB 512GB SSD Intel Iris Xe Graphics 15.6"" Full HD 1080p IPS 300nits AG Display TPM 2.0 ThunderBolt 4 Backlit KB FP Reader (Black, Bag, Lenovo Direct Local Warranty)",232602,230546,2056
"Lenovo ThinkPad E16 Gen 2 - Intel Core Ultra 7 155H 16-Core Processor 16-GB 512-GB SSD Intel Integrated GC 16"" WUXGA 1200p IPS 300nits AG Display Backlit KB FP Reader TPM 2.0 (Black, Bag Included, Lenovo Direct Local Warranty, NEW)",290397,287462,2935
"Lenovo ThinkPad T14 Gen 3 - 12th Gen Core i5 1235u Processor 8-GB to 40-GB 512GB to 2-TB SSD Intel Iris Xe Graphics 14"" WUGA IPS 300nits AG Display Backlit KB FP Reader TPM 2.0 (Thunder Black, Military Specs, Lenovo Direct Local Warranty)",274637,270417,4220
"Lenovo ThinkPad T16 Gen 2 - Raptor Lake - 13th Gen Core i7 1355U Processor 16-GB 512-GB SSD Intel Integrated GC 16"" WUXGA 1200p IPS 300nits AG Display DolbyAudio Backlit KB FPR TPM2.0 W11 Pro (Thunder Black, 3 Years Lenovo Direct Local Warranty)",412176,407900,4276
"Lenovo YOGA Pro 9 16 - Meteor Lake - 14th Gen Core Ultra 7 155H 16-Core Processor 16-GB 1-TB SSD 6-GB NVIDIA GeForce RTX4050 GDDR6 GC 16"" 3.2K IPS 165Hz DolbyVision EyeSafe Dolby Atmos Sound BKB W11 TPM (Luna Grey, 2 Yr Lenovo Direct Local Warranty, NEW)",588383,584938,3445
"Lenovo Yoga 7 2 in 1 16 - Intel Core Ultra 5 125U 12-Core Processor 16-GB 512-GB SSD Intel Integrated Graphics 16"" WUXGA 1200p IPS 300nits DolbyVision MicroEdge Touchscreen Convertible Display Backlit KB FP Reader W11 TPM (Storm Grey, NEW)",191216,187944,3272
